loan_amnt,installment,grade,emp_length,annual_inc,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,pub_rec_bankruptcies,fico_average,term_ 60 months,home_ownership_NONE,home_ownership_OTHER,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_house,purpose_major_purchase,purpose_medical,purpose_moving,purpose_other,purpose_renewable_energy,purpose_small_business,purpose_vacation,purpose_wedding
5000,162.87,2,11,24000.0,0,27.65,0,1,3,0,13648,83.7,9,0.0,737.0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2500,59.83,3,1,30000.0,1,1.0,0,5,3,0,1687,9.4,4,0.0,742.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,84.33,3,11,12252.0,0,8.72,0,2,2,0,2956,98.5,10,0.0,737.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10000,339.31,3,11,49200.0,0,20.0,0,1,10,0,5598,21.0,37,0.0,692.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3000,67.79,2,2,80000.0,0,17.94,0,0,15,0,27783,53.9,38,0.0,697.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5000,156.46,1,4,36000.0,0,11.2,0,3,9,0,7963,28.3,12,0.0,732.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7000,170.08,3,9,47004.0,0,23.51,0,1,7,0,17726,85.6,11,0.0,692.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000,109.43,5,10,48000.0,0,5.35,0,2,4,0,8221,87.5,4,0.0,662.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5600,152.39,6,5,40000.0,1,5.55,0,2,11,0,5210,32.6,13,0.0,677.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5375,121.45,2,1,15000.0,1,18.08,0,0,2,0,9279,36.5,3,0.0,727.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6500,153.45,3,6,72000.0,0,16.12,0,2,14,0,4032,20.6,23,0.0,697.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12000,402.54,2,11,75000.0,0,10.78,0,0,12,0,23336,67.1,34,0.0,677.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9000,305.38,3,1,30000.0,1,10.08,0,1,4,0,10452,91.7,9,0.0,712.0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3000,96.68,2,4,15000.0,0,12.56,0,2,11,0,7323,43.1,11,0.0,707.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,325.74,2,4,100000.0,1,7.06,0,2,14,0,11997,55.5,29,0.0,722.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1000,35.31,4,1,28000.0,0,20.31,0,1,11,0,6524,81.5,23,0.0,667.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,347.98,3,5,42000.0,0,18.6,0,2,14,0,24043,70.2,28,0.0,672.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3600,109.57,1,11,110000.0,0,10.52,0,0,20,0,22836,16.0,42,0.0,762.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6000,198.46,2,2,84000.0,0,18.44,2,0,4,0,0,37.73,14,0.0,687.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
9200,280.01,1,7,77385.19,0,9.86,0,0,8,0,7314,23.1,28,0.0,757.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20250,484.63,3,4,43370.0,0,26.53,0,3,8,0,17813,85.6,22,0.0,727.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
21000,701.73,2,11,105000.0,1,13.22,0,0,7,0,32135,90.3,38,0.0,707.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10000,330.76,2,11,50000.0,0,11.18,0,0,8,0,10056,82.4,21,0.0,692.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10000,330.76,2,6,50000.0,0,16.01,0,0,6,0,17800,91.8,17,0.0,712.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6000,198.46,2,2,76000.0,1,2.4,0,1,7,0,5963,29.7,7,0.0,692.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15000,483.38,2,3,92000.0,0,29.44,0,0,8,0,13707,93.9,31,0.0,732.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15000,514.64,3,10,60000.0,1,15.22,0,1,7,0,5872,57.6,11,0.0,697.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5000,123.65,4,3,50004.0,1,13.97,3,0,14,0,4345,59.5,22,0.0,677.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4000,132.31,2,11,106000.0,0,5.63,1,0,12,0,6110,37.7,44,0.0,682.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8500,281.15,2,1,25000.0,0,12.19,0,0,8,0,6441,59.1,12,0.0,697.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4375,136.11,1,8,17108.0,0,20.34,0,0,6,0,11210,86.9,12,0.0,737.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
